feature,family,vif,r2_vs_all_others
VB5_T3,VB5,81038.0379,0.999988
PB3_T4,PB3,82703.9795,0.999988
PB15_T3,PB15,73146.5575,0.999986
PB17_T3,PB17,73149.8507,0.999986
PB6_T5,PB6,67643.3066,0.999985
VB5_T2,VB5,62929.6778,0.999984
PB9_T11,PB9,57691.436,0.999983
PB3_T8,PB3,55579.6058,0.999982
VB5_T1,VB5,42999.5171,0.999977
PB6_T10,PB6,44416.0973,0.999977
PB3_T9,PB3,43609.7259,0.999977
PB6_T6,PB6,41905.8292,0.999976
PB6_T9,PB6,37183.6893,0.999973
PB3_T7,PB3,31037.3819,0.999968
PB16_T11,PB16,21944.0981,0.999954
PB16_T10,PB16,19623.811,0.999949
PB6_T4,PB6,19084.3621,0.999948
PB6_T8,PB6,18863.5187,0.999947
PB6_T11,PB6,15442.2335,0.999935
V4_T11,V4,15113.7078,0.999934
PB3_T10,PB3,13499.9945,0.999926
PB16_T12,PB16,13000.164,0.999923
V4_T10,V4,12042.9584,0.999917
V1_T11,V1,10817.6593,0.999908
PB9_T4,PB9,8737.0417,0.999886
PB9_T3,PB9,7983.4359,0.999875
V1_T10,V1,7912.6992,0.999874
PB9_T9,PB9,7721.7701,0.99987
PB16_T9,PB16,7092.0007,0.999859
PB6_T7,PB6,7004.7985,0.999857
PB9_T8,PB9,6735.35,0.999852
PB9_T6,PB9,6658.4233,0.99985
PB9_T5,PB9,5198.2371,0.999808
PB3_T3,PB3,4798.4798,0.999792
PB9_T12,PB9,4638.9771,0.999784
PB16_T8,PB16,4019.6377,0.999751
V4_T12,V4,3946.4612,0.999747
V8_T5_T10,V8,3800.8795,0.999737
V8_T5_T11,V8,3589.0324,0.999721
PB9_T7,PB9,3543.0356,0.999718
V1_T12,V1,3158.3792,0.999683
PB3_T11,PB3,2624.3707,0.999619
V8_T6_T10,V8,2619.7144,0.999618
V8_T6_T11,V8,2516.9657,0.999603
PB6_T3,PB6,2516.8203,0.999603
V8_T4_T10,V8,2473.286,0.999596
V8_T4_T11,V8,2304.1854,0.999566
V4_T9,V4,1922.6583,0.99948
V8_T8_T11,V8,1587.6876,0.99937
V8_T3_T10,V8,1361.9759,0.999266
V8_T8_T10,V8,1311.5517,0.999238
V8_T5_T9,V8,1282.9138,0.999221
V8_T3_T11,V8,1271.5241,0.999214
V4_T8,V4,1244.24,0.999196
VB6_T10,VB6,1235.5029,0.999191
PB16_T7,PB16,1228.3008,0.999186
V8_T2_T10,V8,1225.0112,0.999184
V8_T2_T11,V8,1138.141,0.999121
VB6_T11,VB6,1132.0629,0.999117
V8_T7_T11,V8,1132.7632,0.999117
V8_T9_T11,V8,1128.9054,0.999114
V8_T7_T10,V8,1091.8272,0.999084
V8_T1_T10,V8,1066.9021,0.999063
PB18_T11,PB18,984.4918,0.998984
V8_T1_T11,V8,979.5078,0.998979
PB18_T10,PB18,974.5621,0.998974
V8_T6_T9,V8,912.6387,0.998904
V8_T4_T9,V8,813.7717,0.998771
V1_T9,V1,804.9331,0.998758
V8_T5_T8,V8,800.8448,0.998751
PB6_T2,PB6,760.6252,0.998685
V8_T9_T10,V8,668.2097,0.998503
PB16_T6,PB16,635.0584,0.998425
PB2_T11,PB2,578.4878,0.998271
V8_T6_T8,V8,556.647,0.998204
PB16_T5,PB16,556.7953,0.998204
PB2_T7,PB2,550.0762,0.998182
V8_T4_T8,V8,531.75,0.998119
PB2_T9,PB2,530.2425,0.998114
V1_T8,V1,525.0739,0.998096
PB18_T5,PB18,524.4825,0.998093
V8_T5_T12,V8,519.0353,0.998073
V4_T5,V4,515.5791,0.99806
